Time,TS outlet pressure (Mean),TS inlet pressure (Mean),Pump outlet pressure (Mean),Plug,LogId
1900-01-01 13:22:01.191,-0.00105,-0.000591,0.034307,0,15
1900-01-01 13:22:02.191,-0.001113,-0.000413,0.034124,0,15
1900-01-01 13:22:03.191,-0.000908,-0.000345,0.034013,0,15
1900-01-01 13:22:04.191,-0.001081,-0.000334,0.03383,0,15
1900-01-01 13:22:05.191,-0.001212,-0.000492,0.034068,0,15
1900-01-01 13:22:06.191,-0.001254,-0.000376,0.03383,0,15
1900-01-01 13:22:07.191,-0.001144,-0.000507,0.034463,0,15
1900-01-01 13:22:08.191,-0.000918,-0.000565,0.033921,0,15
1900-01-01 13:22:09.191,-0.000981,-0.000156,0.034445,0,15
1900-01-01 13:22:10.191,-0.000834,-0.000418,0.03416,0,15
1900-01-01 13:22:11.191,-0.001128,-0.000492,0.033903,0,15
1900-01-01 13:22:12.191,-0.000871,-0.000581,0.034068,0,15
1900-01-01 13:22:13.191,-0.000976,-0.000455,0.034463,0,15
1900-01-01 13:22:14.191,-0.000934,-0.000906,0.033765,0,15
1900-01-01 13:22:15.191,-0.000945,-0.000339,0.03371,0,15
1900-01-01 13:22:16.191,-0.000992,-0.000455,0.03428,0,15
1900-01-01 13:22:17.191,-0.001013,-0.000297,0.034151,0,15
1900-01-01 13:22:18.191,-0.001034,-0.000329,0.034032,0,15
1900-01-01 13:22:19.191,-0.001097,-0.000518,0.034234,0,15
1900-01-01 13:22:20.191,-0.000939,-0.000418,0.034133,0,15
1900-01-01 13:22:21.191,-0.000997,-0.00066,0.03416,0,15
1900-01-01 13:22:22.191,-0.001307,-0.000591,0.034068,0,15
1900-01-01 13:22:23.191,-0.001008,-0.00035,0.034133,0,15
1900-01-01 13:22:24.191,-0.001008,-0.00045,0.034151,0,15
1900-01-01 13:22:25.191,-0.001008,-0.00056,0.034298,0,15
1900-01-01 13:22:26.191,-0.001223,-0.000471,0.034179,0,15
1900-01-01 13:22:27.191,-0.00075,-0.000675,0.033986,0,15
1900-01-01 13:22:28.191,-0.000934,-0.000444,0.034059,0,15
1900-01-01 13:22:29.191,-0.001102,-0.000229,0.034528,0,15
1900-01-01 13:22:30.191,-0.001212,-0.000166,0.034381,0,15
1900-01-01 13:22:31.191,-0.001097,-0.00036,0.034298,0,15
1900-01-01 13:22:32.191,-0.001008,-0.000387,0.034445,0,15
1900-01-01 13:22:33.191,-0.001338,-0.000455,0.034252,0,15
1900-01-01 13:22:34.191,-0.001396,-0.000255,0.034068,0,15
1900-01-01 13:22:35.191,-0.001065,-0.000628,0.035373,0,15
1900-01-01 13:22:36.191,-0.001092,-0.000612,0.04128,0,15
1900-01-01 13:22:37.191,-0.001071,-0.000476,0.04445,0,15
1900-01-01 13:22:38.191,-0.001107,-0.000471,0.04841,0,15
1900-01-01 13:22:39.191,-0.001008,-0.000649,0.053812,0,15
1900-01-01 13:22:40.191,-0.001034,-0.000544,0.055594,0,15
1900-01-01 13:22:41.191,-0.00106,0.005163,0.057285,0,15
1900-01-01 13:22:42.191,0.002552,0.00751,0.05835,0,15
1900-01-01 13:22:43.191,0.010107,0.012592,0.060307,0,15
1900-01-01 13:22:44.191,0.013389,0.014325,0.061042,0,15
1900-01-01 13:22:45.191,0.013835,0.014714,0.06242,0,15
1900-01-01 13:22:46.191,0.015116,0.017192,0.067225,0,15
1900-01-01 13:22:47.191,0.018503,0.019791,0.069292,0,15
1900-01-01 13:22:48.191,0.02453,0.025886,0.074805,0,15
1900-01-01 13:22:49.191,0.02705,0.027714,0.075319,0,15
1900-01-01 13:22:50.191,0.02673,0.027724,0.075503,0,15
1900-01-01 13:22:51.191,0.026336,0.027766,0.075733,0,15
1900-01-01 13:22:52.191,0.026783,0.027698,0.07621,0,15
1900-01-01 13:22:53.191,0.027943,0.028454,0.077285,0,15
1900-01-01 13:22:54.191,0.028373,0.028895,0.07723,0,15
1900-01-01 13:22:55.191,0.028394,0.028989,0.077221,0,15
1900-01-01 13:22:56.191,0.027633,0.028449,0.077239,0,15
1900-01-01 13:22:57.191,0.027665,0.028617,0.07735,0,15
1900-01-01 13:22:58.191,0.028594,0.029425,0.077515,0,15
1900-01-01 13:22:59.191,0.02935,0.030187,0.079114,0,15
1900-01-01 13:23:00.191,0.030804,0.031861,0.080675,0,15
1900-01-01 13:23:01.191,0.032857,0.033536,0.081475,0,15
1900-01-01 13:23:02.191,0.034501,0.034781,0.082835,0,15
1900-01-01 13:23:03.191,0.035089,0.035447,0.083808,0,15
1900-01-01 13:23:04.191,0.035183,0.035615,0.084525,0,15
1900-01-01 13:23:05.191,0.036385,0.037107,0.085205,0,15
1900-01-01 13:23:06.191,0.037131,0.038225,0.085728,0,15
1900-01-01 13:23:07.191,0.037231,0.038073,0.08628,0,15
1900-01-01 13:23:08.191,0.037646,0.038577,0.087226,0,15
1900-01-01 13:23:09.191,0.03869,0.039301,0.088053,0,15
1900-01-01 13:23:10.191,0.038937,0.039742,0.087649,0,15
1900-01-01 13:23:11.191,0.039651,0.040115,0.08955,0,15
1900-01-01 13:23:12.191,0.039089,0.039748,0.08763,0,15
1900-01-01 13:23:13.191,0.055056,0.058171,0.111407,0,15
1900-01-01 13:23:14.191,0.118149,0.170073,0.278716,0,15
1900-01-01 13:23:15.191,0.187586,0.306836,0.464171,0,15
1900-01-01 13:23:16.191,0.193204,0.317348,0.476555,0,15
1900-01-01 13:23:17.191,0.193666,0.319511,0.479183,0,15
1900-01-01 13:23:18.191,0.19323,0.317699,0.47673,0,15
1900-01-01 13:23:19.191,0.192211,0.318266,0.475398,0,15
1900-01-01 13:23:20.191,0.19134,0.317899,0.473349,0,15
1900-01-01 13:23:21.191,0.190542,0.316864,0.472375,0,15
1900-01-01 13:23:22.191,0.190673,0.316948,0.473202,0,15
1900-01-01 13:23:23.191,0.1903,0.316544,0.471815,0,15
1900-01-01 13:23:24.191,0.189681,0.315478,0.470859,0,15
1900-01-01 13:23:25.191,0.189323,0.313184,0.468581,0,15
1900-01-01 13:23:26.191,0.189565,0.312811,0.467846,0,15
1900-01-01 13:23:27.191,0.187985,0.310559,0.46497,0,15
1900-01-01 13:23:28.191,0.187181,0.308858,0.461534,0,15
1900-01-01 13:23:29.191,0.186425,0.307272,0.460202,0,15
1900-01-01 13:23:30.191,0.184834,0.304946,0.457317,0,15
1900-01-01 13:23:31.191,0.184231,0.303712,0.45491,0,15
1900-01-01 13:23:32.191,0.182939,0.300515,0.451171,0,15
1900-01-01 13:23:33.191,0.180954,0.298782,0.447404,0,15
1900-01-01 13:23:34.191,0.180282,0.2936,0.442498,0,15
1900-01-01 13:23:35.191,0.180687,0.29224,0.439935,0,15
1900-01-01 13:23:36.191,0.178944,0.290885,0.439071,0,15
1900-01-01 13:23:37.191,0.179301,0.291248,0.438851,0,15
1900-01-01 13:23:38.191,0.179841,0.291725,0.43942,0,15
1900-01-01 13:23:39.191,0.179054,0.290103,0.437537,0,15
1900-01-01 13:23:40.191,0.179595,0.290969,0.43897,0,15
1900-01-01 13:23:41.191,0.179684,0.292707,0.439402,0,15
1900-01-01 13:23:42.191,0.181154,0.293983,0.443913,0,15
1900-01-01 13:23:43.191,0.182351,0.296509,0.44734,0,15
1900-01-01 13:23:44.191,0.183538,0.29885,0.448231,0,15
1900-01-01 13:23:45.191,0.182425,0.297448,0.447533,0,15
