Time,TS outlet pressure (Mean),TS inlet pressure (Mean),Pump outlet pressure (Mean),Plug,Plug_future,LogId
1900-01-01 16:31:15.717,0.071495,0.072578,0.126447,0,0,4
1900-01-01 16:31:16.717,0.071159,0.071927,0.126722,0,0,4
1900-01-01 16:31:17.717,0.071458,0.072468,0.126658,0,0,4
1900-01-01 16:31:18.717,0.070954,0.071544,0.126676,0,0,4
1900-01-01 16:31:19.717,0.071027,0.071938,0.126566,0,0,4
1900-01-01 16:31:20.717,0.071621,0.072468,0.126593,0,0,4
1900-01-01 16:31:21.717,0.071138,0.071796,0.126437,0,0,4
1900-01-01 16:31:22.717,0.071668,0.071723,0.126024,0,0,4
1900-01-01 16:31:23.717,0.07151,0.071864,0.1263,0,0,4
1900-01-01 16:31:24.717,0.071206,0.071691,0.126382,0,0,4
1900-01-01 16:31:25.717,0.071285,0.072479,0.126639,0,0,4
1900-01-01 16:31:26.717,0.071295,0.072599,0.126364,0,0,4
1900-01-01 16:31:27.717,0.07129,0.070961,0.126208,0,0,4
1900-01-01 16:31:28.717,0.072104,0.072169,0.126437,0,0,4
1900-01-01 16:31:29.717,0.071505,0.07177,0.126391,0,0,4
1900-01-01 16:31:30.717,0.071689,0.071649,0.126419,0,0,4
1900-01-01 16:31:31.717,0.071316,0.072211,0.126382,0,0,4
1900-01-01 16:31:32.717,0.071689,0.072568,0.126125,0,0,4
1900-01-01 16:31:33.717,0.070481,0.072106,0.126658,0,0,4
1900-01-01 16:31:34.717,0.072119,0.072615,0.126603,0,0,4
1900-01-01 16:31:35.717,0.071584,0.07208,0.126704,0,0,4
1900-01-01 16:31:36.717,0.071195,0.071534,0.12652,0,0,4
1900-01-01 16:31:37.717,0.071778,0.072431,0.126603,0,0,4
1900-01-01 16:31:38.717,0.070744,0.071686,0.126281,0,0,4
1900-01-01 16:31:39.717,0.070954,0.072032,0.126364,0,0,4
1900-01-01 16:31:40.717,0.071253,0.071707,0.126621,0,0,4
1900-01-01 16:31:41.717,0.071589,0.072027,0.126217,0,0,4
1900-01-01 16:31:42.717,0.071437,0.07208,0.126603,0,0,4
1900-01-01 16:31:43.717,0.070975,0.071602,0.126382,0,0,4
1900-01-01 16:31:44.717,0.071043,0.072111,0.126153,0,0,4
1900-01-01 16:31:45.717,0.071164,0.071943,0.126401,0,0,4
1900-01-01 16:31:46.717,0.071337,0.071576,0.126208,0,0,4
1900-01-01 16:31:47.717,0.070964,0.071607,0.126235,0,0,4
1900-01-01 16:31:48.717,0.071568,0.071954,0.126125,0,0,4
