Time,TS outlet pressure (Mean),Pump outlet pressure (Mean),Differential pressure (Mean),Flow rate (Mean),Tank temperature (Mean),Temperature TS inlet (Mean),Temperature TS outlet (Mean),Bypass temperature (Mean),Temperature TS outlet (Std Dev),Temperature TS inlet (Std Dev),Bypass temperature (Std Dev),Tank temperature (Std Dev),Differential pressure (Std Dev),Pressure before pump (Std Dev),Pressure after pump (Std Dev),Flow rate (Std Dev),Plug,Anomaly,Plug_future
1900-01-01 10:08:52.845,0.75527,0.000578,0.21143,1558.87256,5.912115,-0.601603,-0.500077,21.990493,0.246836,0.632802,0.225756,1.092164,0.016312,0.069448,0.005455,10.264631,0,0,0.0
1900-01-01 10:08:53.349,0.754856,0.000383,0.212084,1558.309764,5.94833,-0.549681,-0.486707,21.979025,0.228693,0.749926,0.252299,1.060368,0.018453,0.072138,0.005654,11.580704,0,0,0.0
1900-01-01 10:08:53.845,0.75546,0.000515,0.211671,1558.283209,5.898355,-0.482521,-0.45403,21.964556,0.245335,0.677887,0.241096,1.109344,0.016776,0.072246,0.005568,10.936108,0,0,0.0
1900-01-01 10:08:54.349,0.758346,0.000414,0.212157,1558.291055,5.835831,-0.529368,-0.443995,21.979546,0.254527,0.747038,0.236117,1.084456,0.016701,0.069501,0.005584,11.342378,0,0,0.0
1900-01-01 10:08:54.846,0.754898,0.00051,0.21255,1559.20084,5.858707,-0.444521,-0.408751,21.963551,0.245953,0.66899,0.232174,1.100791,0.015395,0.07025,0.005802,11.070442,0,0,0.0
1900-01-01 10:08:55.349,0.753688,0.000648,0.211161,1560.946268,5.798168,-0.442538,-0.401554,21.97013,0.260455,0.731137,0.23568,1.099153,0.017048,0.070873,0.005733,11.83897,0,0,0.0
1900-01-01 10:08:55.845,0.755556,0.000314,0.211319,1559.680541,5.802565,-0.394136,-0.365111,21.974084,0.268397,0.683309,0.236231,1.093614,0.017061,0.069393,0.005682,11.651884,0,0,0.0
1900-01-01 10:08:56.349,0.754835,0.000539,0.21192,1557.290093,5.745206,-0.387437,-0.350757,21.965481,0.255361,0.651198,0.237171,1.134678,0.016106,0.067861,0.005567,11.454462,0,0,0.0
1900-01-01 10:08:56.845,0.752401,0.000684,0.210504,1556.961922,5.756786,-0.382228,-0.329384,21.97779,0.269062,0.684361,0.226907,1.088738,0.017484,0.076267,0.005463,10.863192,0,0,0.0
1900-01-01 10:08:57.349,0.752346,0.000685,0.211719,1556.38268,5.74104,-0.335612,-0.305962,21.974336,0.24116,0.643364,0.227856,1.067915,0.01677,0.069829,0.005885,11.422618,0,0,0.0
1900-01-01 10:08:57.845,0.755439,0.000483,0.212171,1555.041778,5.68587,-0.32798,-0.296304,21.976731,0.261846,0.693406,0.235113,1.059484,0.016796,0.070815,0.005603,10.760693,0,0,0.0
1900-01-01 10:08:58.349,0.751616,0.000643,0.211628,1555.671717,5.715259,-0.278318,-0.264291,21.977983,0.255378,0.706172,0.238132,1.009448,0.016058,0.071118,0.005616,10.689802,0,0,0.0
1900-01-01 10:08:58.845,0.753089,0.000525,0.211171,1555.659646,5.634005,-0.285375,-0.25555,21.967203,0.242546,0.665741,0.226094,1.076019,0.016449,0.068255,0.005649,13.141093,0,0,0.0
1900-01-01 10:08:59.349,0.753366,0.000289,0.211719,1555.035592,5.650415,-0.240817,-0.224444,21.975899,0.244227,0.743856,0.235939,1.02102,0.016365,0.0677,0.005628,12.117776,0,0,0.0
1900-01-01 10:08:59.845,0.753132,0.000547,0.211726,1555.450521,5.629507,-0.231921,-0.216912,21.976996,0.247213,0.759338,0.217643,1.02246,0.016122,0.06987,0.005613,11.307395,0,0,0.0
1900-01-01 10:09:00.349,0.751856,0.00056,0.210954,1556.064617,5.634791,-0.198368,-0.182513,21.978764,0.244939,0.720828,0.232757,1.017164,0.016283,0.065448,0.005725,9.631421,0,0,0.0
1900-01-01 10:09:00.848,0.753064,0.000437,0.211758,1555.743349,5.64364,-0.181697,-0.176954,21.976284,0.246886,0.698509,0.226482,1.036648,0.017507,0.062637,0.005472,12.261385,0,0,0.0
1900-01-01 10:09:01.345,0.750915,0.000351,0.211663,1555.605443,5.688902,-0.15217,-0.156,21.975701,0.244565,0.714269,0.240482,1.05286,0.016924,0.064431,0.005652,10.677191,0,0,0.0
1900-01-01 10:09:01.848,0.750891,0.000565,0.21138,1555.490963,5.603251,-0.123144,-0.134595,21.978481,0.245209,0.643921,0.240762,1.090127,0.016344,0.065074,0.005802,12.050436,0,0,0.0
1900-01-01 10:09:02.349,0.751056,0.00048,0.211688,1555.569598,5.583021,-0.131869,-0.118093,21.981055,0.249618,0.641648,0.238236,1.052856,0.015934,0.063283,0.005943,12.469045,0,0,0.0
1900-01-01 10:09:02.845,0.747553,0.000483,0.210559,1555.536072,5.655704,-0.0877,-0.091208,21.983348,0.25808,0.675529,0.237113,1.147287,0.016833,0.059709,0.005563,11.810809,0,0,0.0
1900-01-01 10:09:03.344,0.749834,0.000458,0.210819,1554.741807,5.593402,-0.096474,-0.091726,21.971549,0.265755,0.696983,0.2239,1.097646,0.016206,0.065464,0.005517,12.207044,0,0,0.0
1900-01-01 10:09:03.848,0.74847,0.000497,0.21079,1553.83818,5.613697,-0.043675,-0.070525,21.977722,0.274464,0.731982,0.227784,1.018703,0.016384,0.061232,0.005639,11.4758,0,0,0.0
1900-01-01 10:09:04.349,0.749138,0.000292,0.212549,1553.875655,5.594024,-0.042794,-0.059405,21.990488,0.261771,0.677505,0.229482,1.069658,0.015959,0.062833,0.005351,10.274948,0,0,0.0
1900-01-01 10:09:04.845,0.748178,0.00025,0.213579,1555.963827,5.590344,-0.013075,-0.038016,21.984936,0.248143,0.639164,0.234316,1.034378,0.018061,0.060616,0.005779,10.983692,0,0,0.0
1900-01-01 10:09:05.349,0.747054,0.00032,0.213779,1558.758793,5.570989,-0.008518,-0.033021,21.981629,0.249511,0.654323,0.242174,1.016025,0.017168,0.06162,0.005829,11.93368,0,0,0.0
1900-01-01 10:09:05.845,0.746442,0.00025,0.21293,1561.515134,5.580817,0.017092,-0.021079,21.989699,0.243207,0.710055,0.254466,1.030352,0.016936,0.061501,0.00574,10.21618,0,0,0.0
1900-01-01 10:09:06.349,0.742897,0.000351,0.213542,1562.051675,5.570468,0.023775,-0.005415,22.002206,0.28713,0.743914,0.241224,1.053657,0.01766,0.061265,0.005489,12.247677,0,0,0.0
1900-01-01 10:09:06.845,0.746166,0.000388,0.213467,1562.646307,5.57235,0.045672,0.006708,21.996845,0.267948,0.768283,0.250506,0.994596,0.017513,0.065657,0.005702,12.225341,0,0,0.0
1900-01-01 10:09:07.344,0.744636,0.0005,0.214152,1562.215581,5.556579,0.063188,0.0106,21.991279,0.263625,0.692339,0.245928,1.074107,0.017413,0.061223,0.00576,10.492392,0,0,0.0
1900-01-01 10:09:07.848,0.746085,0.000508,0.212849,1563.52973,5.57151,0.102944,0.019848,21.981369,0.246275,0.677197,0.243549,1.047585,0.016158,0.060511,0.005718,11.352763,0,0,0.0
1900-01-01 10:09:08.347,0.746099,0.000342,0.213691,1561.856537,5.535011,0.091859,0.02612,22.004696,0.250278,0.648441,0.249494,1.090087,0.01591,0.064154,0.005841,12.272965,0,0,0.0
