Time,Temperature TS outlet (Mean),Temperature TS inlet (Mean),Bypass temperature (Mean),Tank temperature (Mean),TS outlet pressure (Mean),TS inlet pressure (Mean),Pump outlet pressure (Mean),Flow rate (Mean),LogId,Plug,Plug_future
1900-01-01 15:34:12.330,21.941603,-0.038604,22.486177,-1.31786,0.084447,0.114172,0.17671,0.769096,8,0,0.0
1900-01-01 15:34:13.330,21.944228,-0.048842,22.488803,-1.315366,0.085135,0.114876,0.177904,1.179284,8,0,0.0
1900-01-01 15:34:14.330,21.944884,-0.043067,22.48854,-1.32941,0.084516,0.114251,0.177289,0.820959,8,0,0.0
1900-01-01 15:34:15.330,21.947641,-0.043854,22.489984,-1.329935,0.085833,0.114618,0.177509,0.816244,8,0,0.0
1900-01-01 15:34:16.330,21.946459,-0.039917,22.492872,-1.320616,0.084636,0.113999,0.177124,0.872822,8,0,0.0
1900-01-01 15:34:17.330,21.946328,-0.028498,22.490509,-1.316153,0.08493,0.115175,0.178722,0.726663,8,0,0.0
1900-01-01 15:34:18.330,21.955254,-0.042148,22.496023,-1.331641,0.084915,0.114435,0.177721,1.018981,8,0,0.0
1900-01-01 15:34:19.330,21.954466,-0.040442,22.499567,-1.325997,0.085104,0.114356,0.176977,1.132136,8,0,0.0
1900-01-01 15:34:20.330,21.946591,-0.036898,22.491822,-1.33361,0.085566,0.114813,0.176977,0.882251,8,0,0.0
1900-01-01 15:34:21.330,21.949872,-0.031254,22.499042,-1.318778,0.084899,0.114204,0.177904,0.78324,8,0,0.0
1900-01-01 15:34:22.330,21.947509,-0.033485,22.498911,-1.325735,0.08597,0.114303,0.176765,1.117992,8,0,0.0
1900-01-01 15:34:23.330,21.956173,-0.029548,22.50088,-1.32836,0.085944,0.115002,0.177647,0.934114,8,0,0.0
1900-01-01 15:34:24.330,21.962211,-0.024166,22.502849,-1.338072,0.083928,0.11298,0.17569,0.816244,8,0,0.0
1900-01-01 15:34:25.330,21.951972,-0.026791,22.503112,-1.339778,0.085513,0.113962,0.177629,0.721948,8,0,0.0
1900-01-01 15:34:26.330,21.958142,-0.040573,22.504293,-1.328753,0.085555,0.114487,0.177794,1.17457,8,0,0.0
1900-01-01 15:34:27.330,21.952629,-0.023379,22.505868,-1.333216,0.085681,0.114209,0.177151,1.02841,8,0,0.0
1900-01-01 15:34:28.330,21.959848,-0.033879,22.513745,-1.347391,0.085618,0.114303,0.177482,0.787955,8,0,0.0
