Time,Temperature TS outlet (Mean),Temperature TS inlet (Mean),Bypass temperature (Mean),Tank temperature (Mean),TS outlet pressure (Mean),TS inlet pressure (Mean),Pump outlet pressure (Mean),Flow rate (Mean),Plug,Plug_future
1900-01-01 12:51:40.552,22.09321,12.232228,22.017138,-13.240127,0.037682,0.038944,0.084148,0.891681,0,0.0
1900-01-01 12:51:41.552,22.109092,12.126306,21.997315,-13.72693,0.039263,0.039102,0.082311,0.990692,0,0.0
1900-01-01 12:51:42.552,22.117362,12.007259,22.000729,-14.147058,0.040218,0.039695,0.083606,1.02841,0,0.0
1900-01-01 12:51:43.552,22.106861,11.886111,21.986814,-14.546186,0.040476,0.04011,0.0839,0.952974,0,0.0
1900-01-01 12:51:44.552,22.113424,11.766407,21.992721,-14.887171,0.040423,0.040173,0.083992,1.080273,0,0.0
1900-01-01 12:51:45.552,22.114737,11.647359,21.992852,-15.175394,0.04035,0.040105,0.083974,0.985977,0,0.0
1900-01-01 12:51:46.552,22.114605,11.531856,21.989439,-15.403242,0.040455,0.040262,0.084378,1.03784,0,0.0
1900-01-01 12:51:47.552,22.109749,11.404801,21.987732,-15.579509,0.040696,0.040414,0.084516,0.929399,0,0.0
1900-01-01 12:51:48.552,22.119724,11.297304,21.981563,-15.716402,0.048283,0.050212,0.093767,0.726663,0,0.0
1900-01-01 12:51:49.552,22.121693,11.206607,21.988126,-15.817726,0.090233,0.115411,0.196261,0.844533,0,0.0
1900-01-01 12:51:50.552,22.123137,11.099504,21.982875,-15.888076,0.182818,0.289337,0.438667,1.056699,0,0.0
1900-01-01 12:51:51.552,22.119593,10.90341,21.978937,-15.628597,0.199094,0.322881,0.480882,0.886966,0,0.0
1900-01-01 12:51:52.552,22.124712,10.566218,21.980119,-14.719697,0.200775,0.325297,0.484677,0.872822,0,0.0
1900-01-01 12:51:53.552,22.122875,9.947616,21.974211,-13.5294,0.201546,0.326011,0.485292,0.901111,0,0.0
1900-01-01 12:51:54.552,22.124844,9.04498,21.971848,-12.329915,0.201793,0.326368,0.483951,0.769096,0,0.0
1900-01-01 12:51:55.552,22.131932,7.916193,21.971455,-11.344629,0.200759,0.323816,0.482536,1.108562,0,0.0
1900-01-01 12:51:56.552,22.128388,6.717973,21.970929,-10.566322,0.200024,0.321516,0.478668,1.03784,0,0.0
1900-01-01 12:51:57.552,22.136132,5.637881,21.971192,-9.923333,0.200601,0.322808,0.479192,0.905825,0,0.0
1900-01-01 12:51:58.552,22.140595,4.702826,21.970929,-9.343212,0.199168,0.320634,0.477952,1.033125,0,0.0
1900-01-01 12:51:59.552,22.149521,3.958614,21.967254,-8.764404,0.198606,0.319931,0.476445,1.297155,0,0.0
1900-01-01 12:52:00.552,22.154771,3.3345,21.973949,-8.208433,0.197147,0.318382,0.473882,0.679515,0,0.0
1900-01-01 12:52:01.552,22.155296,2.808958,21.970142,-7.679106,0.196291,0.315631,0.470648,1.117992,0,0.0
1900-01-01 12:52:02.552,22.150833,2.372012,21.973949,-7.185478,0.195897,0.314171,0.46791,0.990692,0,0.0
1900-01-01 12:52:03.552,22.153327,2.017888,21.975787,-6.732275,0.195041,0.313819,0.466514,0.853963,0,0.0
1900-01-01 12:52:04.552,22.15464,1.713247,21.973555,-6.316085,0.194731,0.313845,0.466495,0.731378,0,0.0
1900-01-01 12:52:05.552,22.155165,1.457957,21.974736,-5.910525,0.194007,0.31132,0.464639,0.853963,0,0.0
1900-01-01 12:52:06.552,22.157659,1.260157,21.97408,-5.529641,0.194217,0.311346,0.464373,1.15571,0,0.0
1900-01-01 12:52:07.552,22.15674,1.113021,21.977887,-5.190887,0.193624,0.310732,0.462866,0.891681,0,0.0
1900-01-01 12:52:08.552,22.151884,0.991086,21.971848,-4.872739,0.191476,0.307556,0.460211,0.721948,0,0.0
1900-01-01 12:52:09.552,22.155034,0.881751,21.97198,-4.584123,0.191056,0.306379,0.458484,0.962403,0,0.0
1900-01-01 12:52:10.552,22.153459,0.820061,21.978543,-4.30115,0.190904,0.305944,0.456527,0.820959,0,0.0
1900-01-01 12:52:11.552,22.153852,0.752334,21.973161,-4.050727,0.19114,0.306075,0.457317,1.042555,0,0.0
1900-01-01 12:52:12.552,22.154903,0.708233,21.972242,-3.816841,0.19167,0.307466,0.457749,1.141566,0,0.0
1900-01-01 12:52:13.552,22.161072,0.691432,21.974474,-3.588993,0.192075,0.308191,0.460505,0.929399,0,0.0
1900-01-01 12:52:14.552,22.152671,0.67975,21.975393,-3.38175,0.192106,0.308354,0.460248,0.962403,0,0.0
1900-01-01 12:52:15.552,22.154246,0.682244,21.973949,-3.190127,0.192327,0.307745,0.459053,0.872822,0,0.0
1900-01-01 12:52:16.552,22.149915,0.669513,21.977099,-2.997453,0.192673,0.309356,0.460634,1.056699,0,0.0
1900-01-01 12:52:17.552,22.15464,0.689463,21.974343,-2.816723,0.192342,0.309761,0.462205,0.806814,0,0.0
1900-01-01 12:52:18.552,22.155821,0.692745,21.973555,-2.652137,0.192768,0.310254,0.461883,0.901111,0,0.0
1900-01-01 12:52:19.552,22.158709,0.716764,21.979594,-2.49372,0.19272,0.309881,0.46215,1.202858,0,0.0
1900-01-01 12:52:20.552,22.156478,0.738552,21.978806,-2.352364,0.192264,0.308758,0.460735,1.023696,0,0.0
1900-01-01 12:52:21.552,22.151884,0.760997,21.975918,-2.221378,0.191854,0.307787,0.460321,1.150995,0,0.0
1900-01-01 12:52:22.552,22.164222,0.799323,21.977624,-2.091573,0.193251,0.310564,0.463353,1.169855,0,0.0
1900-01-01 12:52:23.552,22.166847,0.830824,21.978806,-1.970299,0.193445,0.310406,0.463068,0.882251,0,0.0
1900-01-01 12:52:24.552,22.165141,0.860881,21.98235,-1.860706,0.194128,0.311346,0.46418,1.221718,0,0.0
1900-01-01 12:52:25.552,22.171441,0.892382,21.9813,-1.755313,0.193345,0.310076,0.462664,0.962403,0,0.0
1900-01-01 12:52:26.552,22.173279,0.919683,21.9834,-1.656351,0.192615,0.309986,0.463197,0.886966,0,0.0
1900-01-01 12:52:27.552,22.168685,0.957353,21.987339,-1.547152,0.192862,0.310301,0.463665,1.056699,0,0.0
1900-01-01 12:52:28.552,22.171179,0.980717,21.984057,-1.436246,0.194159,0.311346,0.464952,1.000122,0,0.0
1900-01-01 12:52:29.552,22.175379,1.031906,21.990883,-1.322453,0.193965,0.31195,0.465898,0.5475,0,0.0
1900-01-01 12:52:30.552,22.174723,1.046344,21.991146,-1.228085,0.194637,0.312953,0.465797,1.02841,0,0.0
1900-01-01 12:52:31.552,22.175248,1.074826,21.992327,-1.13188,0.194007,0.312785,0.46644,1.066129,0,0.0
1900-01-01 12:52:32.552,22.180892,1.120634,21.994821,-1.035281,0.19439,0.31278,0.466201,0.971833,0,0.0
1900-01-01 12:52:33.552,22.175773,1.155022,21.997053,-0.94905,0.193823,0.312223,0.466063,1.084988,0,0.0
1900-01-01 12:52:34.552,22.171967,1.179173,21.999285,-0.857307,0.193445,0.311226,0.46463,1.04727,0,0.0
1900-01-01 12:52:35.552,22.176823,1.213168,21.997447,-0.767664,0.192962,0.310611,0.463509,1.014266,0,0.0
1900-01-01 12:52:36.552,22.179842,1.248607,21.997315,-0.693771,0.191308,0.307219,0.459347,1.183999,0,0.0
1900-01-01 12:52:37.552,22.176823,1.268951,21.997578,-0.642058,0.186137,0.298068,0.446026,0.985977,0,0.0
1900-01-01 12:52:38.552,22.172098,1.305177,22.002435,-0.579978,0.182713,0.290807,0.436251,1.27358,0,0.0
1900-01-01 12:52:39.552,22.175773,1.323028,22.002566,-0.529184,0.178098,0.28238,0.423572,0.825674,0,0.0
1900-01-01 12:52:40.552,22.17446,1.312134,21.995215,-0.485872,0.174717,0.276484,0.415928,0.877537,0,0.0
1900-01-01 12:52:41.552,22.173542,1.266063,21.993115,-0.456341,0.172969,0.275407,0.413586,0.905825,0,0.0
1900-01-01 12:52:42.552,22.171835,1.200436,21.995871,-0.440854,0.175184,0.278526,0.419925,1.075559,0,0.0
1900-01-01 12:52:43.552,22.174854,1.12129,21.994953,-0.447941,0.178655,0.285583,0.428772,0.976548,0,0.0
1900-01-01 12:52:44.552,22.168948,1.008805,21.994427,-0.451747,0.182377,0.291746,0.436379,0.981262,0,0.0
1900-01-01 12:52:45.552,22.167372,0.905114,21.992196,-0.463429,0.18484,0.295159,0.442241,0.886966,0,0.0
1900-01-01 12:52:46.552,22.167372,0.821243,21.991014,-0.490991,0.187601,0.299218,0.44632,1.108562,0,0.0
1900-01-01 12:52:47.552,22.170654,0.73514,21.98537,-0.493091,0.188777,0.302772,0.451832,0.613507,0,0.0
1900-01-01 12:52:48.552,22.168291,0.659931,21.982875,-0.513041,0.190059,0.304227,0.452926,0.929399,0,0.0
1900-01-01 12:52:49.552,22.166191,0.592729,21.981825,-0.521441,0.188961,0.302594,0.451263,0.957688,0,0.0
1900-01-01 12:52:50.552,22.164222,0.548102,21.978937,-0.531153,0.188709,0.301376,0.450289,1.183999,0,0.0
1900-01-01 12:52:51.552,22.167372,0.510432,21.977624,-0.532334,0.186515,0.298661,0.445833,0.948259,0,0.0
1900-01-01 12:52:52.552,22.16606,0.474994,21.975524,-0.529316,0.184745,0.29455,0.439742,0.519211,0,0.0
1900-01-01 12:52:53.552,22.17026,0.440211,21.97618,-0.540734,0.180167,0.286664,0.429158,1.061414,0,0.0
1900-01-01 12:52:54.552,22.174329,0.410679,21.971848,-0.534565,0.178324,0.282343,0.424381,0.688944,0,0.0
1900-01-01 12:52:55.552,22.171573,0.379834,21.970667,-0.531153,0.173504,0.274368,0.412419,0.962403,0,0.0
1900-01-01 12:52:56.552,22.16816,0.351877,21.965022,-0.535615,0.149326,0.234785,0.355816,0.820959,0,0.0
1900-01-01 12:52:57.552,22.17131,0.340458,21.963184,-0.530497,0.144643,0.224142,0.341245,1.169855,0,0.0
1900-01-01 12:52:58.552,22.169079,0.321426,21.964366,-0.515272,0.161428,0.252888,0.383993,1.094418,0,0.0
1900-01-01 12:52:59.552,22.167504,0.316701,21.964497,-0.501491,0.16776,0.269826,0.408027,1.000122,0,0.0
1900-01-01 12:53:00.552,22.169473,0.285988,21.960559,-0.482853,0.164589,0.264492,0.398812,1.04727,0,0.0
1900-01-01 12:53:01.552,22.167897,0.268268,21.956096,-0.460672,0.161801,0.259719,0.390746,0.924685,0,0.0
1900-01-01 12:53:02.552,22.169604,0.232305,21.953339,-0.44151,0.148565,0.234932,0.354851,1.264151,0,0.0
1900-01-01 12:53:03.552,22.168948,0.201854,21.952157,-0.419329,0.139167,0.21802,0.332104,0.820959,0,0.0
1900-01-01 12:53:04.552,22.170785,0.177834,21.948482,-0.40896,0.138862,0.214838,0.327703,0.655941,0,0.0
1900-01-01 12:53:05.552,22.169604,0.150139,21.943493,-0.391373,0.130787,0.201371,0.308832,1.136851,0,0.0
1900-01-01 12:53:06.552,22.170391,0.141739,21.944544,-0.371685,0.127343,0.194283,0.299131,1.103847,0,0.0
1900-01-01 12:53:07.552,22.17131,0.123626,21.939293,-0.362892,0.143913,0.222567,0.340418,1.250006,0,0.0
1900-01-01 12:53:08.552,22.168685,0.121395,21.941393,-0.369979,0.163303,0.259388,0.392299,0.995407,0,0.0
1900-01-01 12:53:09.552,22.170654,0.1063,21.936536,-0.37431,0.162547,0.261331,0.39319,0.853963,0,0.0
1900-01-01 12:53:10.552,22.16606,0.095538,21.935223,-0.381923,0.153122,0.243122,0.367631,1.000122,0,0.0
1900-01-01 12:53:11.552,22.168029,0.046974,21.933517,-0.389273,0.153306,0.243075,0.366721,1.033125,0,0.0
